,año,particulares,aseguradoras,aseguradoras_enfermedad,aseguradoreas_trafico,mutuas,ncodi,tipo_id
48020,2011,0.0,0.0,0.0,0.0,0.0,261,3
48021,2011,0.0,0.0,0.0,0.0,0.0,730,3
48022,2011,0.0,0.0,0.0,0.0,0.0,577,3
48023,2011,,0.0,,,,788,3
48024,2011,,0.0,,,,865,3
48025,2011,0.0,0.0,0.0,0.0,0.0,979,3
48026,2011,0.0,0.0,0.0,0.0,0.0,998,3
48027,2011,0.0,0.0,0.0,0.0,0.0,221,3
48028,2011,4620.0,69678.0,66858.0,2820.0,,462,3
48029,2011,18954.0,129850.0,129850.0,,136233.0,506,3
48030,2011,0.0,0.0,0.0,0.0,0.0,727,3
48031,2011,73830.0,588945.0,262800.0,326145.0,184800.0,355,3
48032,2011,0.0,450.0,450.0,0.0,0.0,487,3
48033,2011,117434.0,0.0,0.0,0.0,0.0,938,3
48034,2011,317240.0,258695.0,258695.0,,93067.0,886,3
48035,2011,27152.0,135041.0,135041.0,,85860.0,835,3
48036,2011,0.0,0.0,0.0,0.0,0.0,999,3
48037,2011,0.0,0.0,0.0,0.0,0.0,798,3
48038,2011,0.0,0.0,0.0,0.0,0.0,504,3
48039,2011,69049.0,1768203.0,1463314.0,304889.0,0.0,247,3
48040,2011,124381.0,1996843.0,1996843.0,0.0,0.0,216,3
48041,2011,0.0,0.0,0.0,0.0,0.0,654,3
48042,2011,0.0,0.0,0.0,0.0,0.0,65,3
48043,2011,246.0,21330.0,21330.0,0.0,10245.0,472,3
48044,2011,0.0,0.0,0.0,0.0,0.0,427,3
48045,2011,0.0,9587.0,9587.0,0.0,4793.0,491,3
48046,2011,0.0,0.0,0.0,0.0,0.0,551,3
48047,2011,0.0,0.0,0.0,0.0,0.0,106,3
48048,2011,0.0,0.0,0.0,0.0,0.0,819,3
48049,2011,0.0,0.0,0.0,0.0,0.0,836,3
48050,2011,0.0,0.0,0.0,0.0,0.0,915,3
48051,2011,0.0,0.0,0.0,0.0,0.0,942,3
48052,2011,0.0,1046.0,1046.0,0.0,0.0,748,3
48053,2011,0.0,0.0,0.0,0.0,0.0,198,3
48054,2011,0.0,0.0,0.0,0.0,0.0,871,3
48055,2011,604493.0,1995224.0,1930788.0,64436.0,26668.0,948,3
48056,2011,0.0,0.0,0.0,0.0,0.0,1051,3
48057,2011,0.0,0.0,0.0,0.0,0.0,1083,3
48058,2011,0.0,0.0,0.0,0.0,0.0,679,3
48059,2011,0.0,0.0,0.0,0.0,0.0,176,3
48060,2011,0.0,0.0,0.0,0.0,0.0,537,3
48061,2011,0.0,0.0,0.0,0.0,0.0,608,3
48062,2011,0.0,0.0,0.0,0.0,0.0,596,3
48063,2011,0.0,0.0,0.0,0.0,0.0,749,3
48064,2011,113.0,941.0,941.0,0.0,2283.0,758,3
48065,2011,0.0,0.0,0.0,0.0,0.0,724,3
48066,2011,0.0,0.0,0.0,0.0,0.0,436,3
48067,2011,,0.0,,,,567,3
48068,2011,0.0,0.0,0.0,0.0,0.0,677,3
48069,2011,0.0,953.0,953.0,0.0,0.0,670,3
48070,2011,0.0,0.0,0.0,0.0,0.0,588,3
48071,2011,0.0,0.0,0.0,0.0,0.0,446,3
48072,2011,0.0,0.0,0.0,0.0,0.0,753,3
48073,2011,0.0,0.0,0.0,0.0,0.0,887,3
48074,2011,0.0,0.0,0.0,0.0,0.0,388,3
48075,2011,0.0,0.0,0.0,0.0,142.0,585,3
48076,2011,0.0,0.0,0.0,0.0,0.0,245,3
48077,2011,0.0,0.0,0.0,0.0,0.0,603,3
48078,2011,0.0,0.0,0.0,0.0,0.0,426,3
48079,2011,,0.0,,,,232,3
48080,2011,0.0,0.0,0.0,0.0,0.0,288,3
48081,2011,0.0,0.0,0.0,0.0,0.0,246,3
48082,2011,0.0,0.0,0.0,0.0,60665.0,284,3
48083,2011,0.0,0.0,0.0,0.0,0.0,18,3
48084,2011,0.0,0.0,0.0,0.0,0.0,356,3
48085,2011,0.0,0.0,0.0,0.0,0.0,401,3
48086,2011,1504710.0,736259.0,515381.0,220878.0,158408.0,733,3
48087,2011,,285957.0,285957.0,,,243,3
48088,2011,,0.0,,,,380,3
48089,2011,,0.0,,,,716,3
48090,2011,170058.0,1941987.0,1941987.0,0.0,17695.0,534,3
48091,2011,269457.0,910647.0,910647.0,0.0,6500.0,185,3
48092,2011,199191.0,100814.0,100814.0,,1646.0,258,3
48093,2011,130550.0,1624655.0,1624655.0,0.0,0.0,505,3
48094,2011,,0.0,,,,268,3
48095,2011,2124054.0,1361042.0,1361042.0,,,602,3
48096,2011,,0.0,,,,254,3
48097,2011,40901.0,338026.0,338026.0,0.0,0.0,705,3
48098,2011,,0.0,,,,133,3
48099,2011,0.0,0.0,0.0,0.0,0.0,33,3
